Address Line 1,Address Line 2,City,Postal Code,id client,Extra info
Kaarinan Autokorjaam,Kuljettajankatu 5,Kaarina,20780,,
JT Servis,Ylärinteenkatu 3,Raisio ,21200,3286855,
D&D.autotalo,"F4FV+3M, tila 5 halli 1",Raisio ,21220,3284622,
J Huolto Oy,"Prosessikatu 8, halli B",Naantali ,21100,3282071,
Motor-In Oy,Pansiontie 21 ,Turku ,20200,3280049,
Hawler Autokorjaamo ,Alhaistentie 4 ,Raisio ,21200,3159516,
Muhkurin Autohuolto,4 Uhrilähteenkatu,Turku,20250,3186907,
Naantalin Rengasteam,2 Niittikuja,Naantali,21110,3218334,
Kaarinan Autopalvelu,Autoilijankatu 24,Kaarina,20780,3188191,
Best Caravan Turku,2 Automestarinkatu,Kaarina,20780,,
AUTOLIFE Oy,7 Purokatu,Raisio,21200,3228998,
Gummi ja Gylmä,6 Lankkukatu,Kaarina,20760,3166088,
Anttila & Kujander,2 Pläkkisepänkatu,Turku,20320,3260832,
Kari Rintala,Karmat Ky Kari Rintala,Turku,20810,3152124,
JJC Myynti Oy,"Raision Rengas, box 7",Raisio,21200,3234219,
Plus Pikahuolto Oy,Plus Autohuolto ,Turku,20810,3186892,
Osahankinta Oy,Nuppulantie 31,Turku,20320,3149590,
Korjaamopalvelu Ahokas,Bemarihuolto,Piispanristi,20760,3148923,
Tom Jerry Oy,12 Hiiskanaukeantie,Kaarina,20660,3148773,
B1 Autohuolto,5 Laasmäenkatu,Kaarina,20780,3148963,
Beni Autokorjaamosi,A 1 11 Kiertotähdentie,Turku,20200,3230499,
Autoni Palvelu,9 Hallimestarinkatu,Kaarina,20780,3252584,
Pro Autotalo,4 Konemestarintie,Piikkiö,21500,3156599,
Motoracing Company,4 Lukkosepänkatu,Turku,20320,3216391,
Sawa-Autokorjaamo,A4 20 Voivalantie,Kaarina,20780,3148957,
Mh Autokorjaamo,8 Formaalintie,Kaarina,20780,3148915,
Raision Autokorjaamo,"2 Purokatu, box 26",Raisio,21200,3187438,
Autokorjaamo Huolto 10,8 Patenttikatu,Naantali,21100,,
Adams Autokorjaamo,2 Väntsintie,Kaarina,20780,3152342,
E.V. Varaosa,M-market Tikanmaa,Raisio,21210,3262201,
TM Autopiste,7B Lakimiehenkatu,Kaarina,20780,3163208,
Veljekset Autohuolto,6 Mallimestarinkatu,Kaarina,20780,3221541,
TTJ Autopalvelut Oy,Autokaarina.fi,Kaarina,20780,3211445,
Aninkaisten Autohuolto,34 Nuppulantie,Turku,20320,3152129,
Bil On Oy,A 1 14 Krossinkatu,Kaarina,20780,3257356,
Turun kuntotesti,15 Pitkämäenkatu,Turku,20250,3149540,
Peltolan autokorjaamo,13 Kaarningonkatu,Turku,20740,3186921,
Motors Auto Service,15 Pitkämäenkatu,Turku,20250,3149512,
Ev&Bikes Service Oy,halli 142 4 Salvumiehenkatu,Turku,20320,,
Autokorjaamo Ka-Ro,11a Piilipuunkatu,Raisio,21200,3182671,
VALPAS-AUTOMYYNTI,2 Ojakatu,Raisio,21200,3227668,
Darnor Oy,5 Akselintie,Turku,20200,3152126,
M&A Autokorjaamo,9 Voudinkatu,Raisio,21200,3200051,
Turun Autotalo,6 Mallimestarinkatu,Kaarina,20780,3169151,
Autohuolto W,14 Linkkikatu,Naantali,21100,3218343,
Bemariosat.fi,Bemarihuolto ,Piispanristi,20760,3175514,
MirCo Oy,Perno kebab-pizzeria,Turku,20240,3251655,
Motor Precision,4 Raatikatu,Raisio,21200,3245330,
Kaarinan Autoveljet,3 Lautamiehenkatu,Kaarina,20780,3226668,
Autohuolto Tuomas Gee,Gotlanninkatu 2Y,Turku,20240,3223969,
Aurinkotien Auto Oy,1 b Rautakatu,Naantali,21110,3214531,
Overriver,Krossin Katsastus,Kaarina,20780,3214654,
Krossin Autokorjaamo,20 Hallimestarinkatu,Kaarina,20780,3253429,
Benin Automyynti,31 Varppeenkatu,Raisio,21200,3255594,
First Stop Kaarina,24 E Voivalantie,Kaarina,20780,3148979,
Autovimma oy,1 Sudenkatu,Kaarina,20760,,
JL-Fiber Oy,Artturintasku 2,Turku,20200,3243491,Tilitoimisto Tosite Oy
Turun Autohuolto Oy,9 Salvumiehenkatu,Turku,20320,3149517,
GearGuru OÜ,"2 Purokatu, box 25 ",Raisio,21200,3272661,
MaxSpeed Service,15 Vehnätie,Raisio,21200,3196786,
Autokorjaamo Highwey,8 Uhrilähteenkatu,Turku,20250,3188126,
Carplus Oy,9 Akselintie,Turku,20200,3208365,
Tehopaja Oy,Krossinkatu 14b,Kaarina,20780,3227779,
Manhattan Käsi Auto,15 Pitkämäenkatu,Turku,20250,3162361,
Rokanco Oy,First Stop Kaarina,Kaarina,20780,3273138,
Maxiwash Oy,MaxSpeed Service,Raisio,21200,3218330,
AutoLinja ,Autopesula Press,Raisio,21200,3250071,
Easy Diamond Oy,TM Autopiste,Kaarina,20780,3276562,